TRA_ID;TRA_CODIGO;TRA_LICENCIA;TRA_PROCEDENCIA;TRA_TIPOINTERNO;TRA_INFO;TRA_ULTIMOCAMBIO;TRA_ULTIMOCAMBIO_USU_ID
90;DC8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
91;388D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
92;B08D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
93;C289960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
94;428B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
95;9B8D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
96;4D8E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
97;2D89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
98;5E89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
99;FF89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
100;4D89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
101;2A8B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
102;0E8A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
103;258D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
104;598F960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
105;A88B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
106;4E8E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
107;7988960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
108;948D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
109;EF8E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
110;F889960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
111;438A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
112;B68A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
113;8E8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
114;398B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
115;6D8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
116;068D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
117;3D8D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
118;E489960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
119;F48D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
120;0289960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
121;108C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
122;A98D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
123;C58E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
124;988B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
125;EB8E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
126;E88B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
127;BA88960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
128;6E89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
129;C28A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
130;D98C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
131;3489960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
132;DE8D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
133;E28B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
134;608A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
135;7C8F960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
136;468D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
137;A88E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
138;B38B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
139;558D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
140;B28A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
141;688A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
142;1F88960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
143;458C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
144;0D8A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
145;B38E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
146;9E8A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
147;F488960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
148;7F89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
149;878A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
150;E289960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
151;E68B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
152;E58D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
153;568F960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
154;EC8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
