"POS_ID	POS_VEH_ID	POS_EVE_ID	POS_LATITUD	POS_LONGITUD	POS_ALTITUD	POS_FECHAHORA	POS_FECHAHORASAT	POS_SAT	POS_SATTOT	POS_VELOCIDAD	POS_CALIDAD	POS_RUMBO	POS_DIR_ID"
"53114583	42	33	41,47945	2,09513	0	2015-04-16 14:49:18.000	2015-04-16 12:49:18.000	0	0	0	0	337	NULL"
"53114582	34	53	41,47956	2,09487	0	2015-04-16 14:49:18.000	2015-04-16 12:49:18.000	0	0	0	0	331	NULL"
"53114581	41	33	41,47171	2,09019	0	2015-04-16 14:49:16.000	2015-04-16 12:49:16.000	0	0	14	0	86	NULL"
"53114580	84	36	41,35116	-1,64183	0	2015-04-16 14:49:16.000	2015-04-16 12:49:16.000	0	0	0	0	165	NULL"
"53114579	84	35	41,35116	-1,64183	0	2015-04-16 14:49:15.000	2015-04-16 12:49:15.000	0	0	0	0	165	NULL"
"53114578	49	33	41,47967	2,095093	0	2015-04-16 14:48:44.000	2015-04-16 12:48:44.000	0	0	0	1	0	NULL"
"53114577	49	33	41,47966	2,095082	0	2015-04-16 14:48:14.000	2015-04-16 12:48:14.000	0	0	0	1	0	NULL"
"53114576	84	36	41,35116	-1,64183	0	2015-04-16 14:49:11.000	2015-04-16 12:49:11.000	0	0	0	0	165	NULL"
"53114575	77	33	41,52114	2,09924	0	2015-04-16 14:49:07.000	2015-04-16 12:49:07.000	0	0	35	0	327	NULL"
"53114574	29	33	41,46928	2,07711	0	2015-04-16 14:49:07.000	2015-04-16 12:49:07.000	0	0	0	0	111	NULL"
"53114573	77	33	41,52097	2,09935	0	2015-04-16 14:49:05.000	2015-04-16 12:49:05.000	0	0	40	0	341	NULL"
"53114572	71	33	41,47969	2,09539	0	2015-04-16 14:49:02.000	2015-04-16 12:49:02.000	0	0	0	0	96	NULL"
"53114571	69	33	41,47934	2,09488	0	2015-04-16 14:49:02.000	2015-04-16 12:49:02.000	0	0	0	0	346	NULL"
"53114570	41	33	41,47166	2,08976	0	2015-04-16 14:49:01.000	2015-04-16 12:49:01.000	0	0	10	0	83	NULL"
"53114569	39	33	41,47936	2,09492	0	2015-04-16 14:49:01.000	2015-04-16 12:49:01.000	0	0	0	0	49	NULL"
"53114568	35	33	41,47939	2,09514	0	2015-04-16 14:48:58.000	2015-04-16 12:48:58.000	0	0	0	0	63	NULL"
"53114567	42	33	41,47945	2,09513	0	2015-04-16 14:48:57.000	2015-04-16 12:48:57.000	0	0	0	0	337	NULL"
"53114566	41	33	41,47166	2,08954	0	2015-04-16 14:48:56.000	2015-04-16 12:48:56.000	0	0	16	0	87	NULL"
"53114565	77	33	41,51998	2,09913	0	2015-04-16 14:48:56.000	2015-04-16 12:48:56.000	0	0	50	0	16	NULL"
"53114564	77	33	41,51872	2,09921	0	2015-04-16 14:48:47.000	2015-04-16 12:48:47.000	0	0	56	0	349	NULL"
"53114563	57	33	41,4793	2,094925	0	2015-04-16 14:48:37.000	2015-04-16 12:48:37.000	0	0	1	1	0	NULL"
"53114562	57	33	41,47925	2,094947	0	2015-04-16 14:48:07.000	2015-04-16 12:48:07.000	0	0	0	1	0	NULL"
"53114561	57	33	41,47923	2,095124	0	2015-04-16 14:47:37.000	2015-04-16 12:47:37.000	0	0	0	1	0	NULL"
"53114560	29	33	41,46928	2,07711	0	2015-04-16 14:48:46.000	2015-04-16 12:48:46.000	0	0	0	0	111	NULL"
"53114559	71	33	41,47969	2,09539	0	2015-04-16 14:48:43.000	2015-04-16 12:48:43.000	0	0	0	0	96	NULL"
"53114558	69	33	41,47934	2,09488	0	2015-04-16 14:48:41.000	2015-04-16 12:48:41.000	0	0	0	0	346	NULL"
"53114557	39	33	41,47936	2,09492	0	2015-04-16 14:48:41.000	2015-04-16 12:48:41.000	0	0	0	0	49	NULL"
"53114556	54	33	41,47952	2,095014	0	2015-04-16 14:48:17.000	2015-04-16 12:48:17.000	0	0	0	1	0	NULL"
"53114555	54	33	41,47941	2,095069	0	2015-04-16 14:47:47.000	2015-04-16 12:47:47.000	0	0	6	1	157	NULL"
"53114554	35	33	41,47939	2,09514	0	2015-04-16 14:48:39.000	2015-04-16 12:48:39.000	0	0	0	0	63	NULL"
"53114553	42	33	41,47945	2,09513	0	2015-04-16 14:48:38.000	2015-04-16 12:48:38.000	0	0	0	0	337	NULL"
"53114552	41	33	41,47181	2,0884	0	2015-04-16 14:48:36.000	2015-04-16 12:48:36.000	0	0	19	0	133	NULL"
"53114551	41	33	41,47182	2,08834	0	2015-04-16 14:48:35.000	2015-04-16 12:48:35.000	0	0	19	0	138	NULL"
"53114550	63	33	41,47964	2,095462	0	2015-04-16 14:48:19.000	2015-04-16 12:48:19.000	0	0	0	1	0	NULL"
"53114549	63	33	41,47971	2,095432	0	2015-04-16 14:47:59.000	2015-04-16 12:47:59.000	0	0	4	1	142	NULL"
"53114548	63	33	41,4796	2,095319	0	2015-04-16 14:47:39.000	2015-04-16 12:47:39.000	0	0	8	1	49	NULL"
"53114547	77	33	41,51599	2,09984	0	2015-04-16 14:48:27.000	2015-04-16 12:48:27.000	0	0	61	0	343	NULL"
"53114546	29	33	41,46928	2,07711	0	2015-04-16 14:48:26.000	2015-04-16 12:48:26.000	0	0	0	0	111	NULL"
"53114545	71	33	41,47969	2,09539	0	2015-04-16 14:48:23.000	2015-04-16 12:48:23.000	0	0	0	0	96	NULL"
"53114544	69	33	41,47934	2,09488	0	2015-04-16 14:48:22.000	2015-04-16 12:48:22.000	0	0	0	0	346	NULL"
"53114543	39	33	41,47936	2,09492	0	2015-04-16 14:48:21.000	2015-04-16 12:48:21.000	0	0	0	0	49	NULL"
"53114542	77	33	41,51503	2,10041	0	2015-04-16 14:48:20.000	2015-04-16 12:48:20.000	0	0	53	0	331	NULL"
"53114541	41	33	41,47212	2,08804	0	2015-04-16 14:48:20.000	2015-04-16 12:48:20.000	0	0	8	0	211	NULL"
"53114540	35	33	41,47939	2,09514	0	2015-04-16 14:48:19.000	2015-04-16 12:48:19.000	0	0	0	0	63	NULL"
"53114539	42	33	41,47945	2,09513	0	2015-04-16 14:48:18.000	2015-04-16 12:48:18.000	0	0	0	0	337	NULL"
"53114538	41	33	41,47217	2,0882	0	2015-04-16 14:48:15.000	2015-04-16 12:48:15.000	0	0	3	0	278	NULL"
"53114537	77	33	41,51445	2,10178	0	2015-04-16 14:48:09.000	2015-04-16 12:48:09.000	0	0	48	0	307	NULL"
"53114536	77	33	41,51428	2,10202	0	2015-04-16 14:48:07.000	2015-04-16 12:48:07.000	0	0	50	0	323	NULL"
"53114535	49	33	41,47966	2,095073	0	2015-04-16 14:47:44.000	2015-04-16 12:47:44.000	0	0	0	1	0	NULL"
"53114534	49	33	41,47965	2,095062	0	2015-04-16 14:47:14.000	2015-04-16 12:47:14.000	0	0	0	1	0	NULL"
"53114533	29	33	41,46928	2,07711	0	2015-04-16 14:48:06.000	2015-04-16 12:48:06.000	0	0	0	0	111	NULL"
"53114532	71	33	41,47969	2,09539	0	2015-04-16 14:48:03.000	2015-04-16 12:48:03.000	0	0	0	0	96	NULL"
